"Enable Log Cleaning","Log-Bereinigung aktivieren"
"Save Log, Days","Log speichern, Tage"
"Frequency","Häufigkeit"
"Log-Cleaning","Log Bereinigung"
"Admin Monitoring","Admin Monitoring"
"Enable logging on product imports","Log für Produkt-Importe aktivieren"
"Enable logging on product mass updates","Log für Updates der Produktattribute aktivieren"
"Date/Time","Datum/Uhrzeit"
"Object Type","Objekt-Typ"
"Object ID","Objekt ID"
"Action","Aktion"
"Status","Status"
"User","Benutzer"
"User Agent","User Agent"
"Remote Address","IP-Adresse"
"Revert","Zurücksetzen"
"Revert Changes","Änderungen Zurücksetzen"
"Are you sure?","Sind Sie sicher?"
"History","Verlauf"
"Admin Monitoring","Admin Monitoring"
"History Entry #%s","Verlaufseintrag #%s"
"Go To Object","Zum Objekt"
"View","Ansehen"
"Object Changes","Objekt Änderungen"
"Old Content","Alter Inhalt"
"New Content","Neuer Inhalt"
"User Data","Benutzer Informationen"
"History Data","Verlauf Informationen"
"Message","Nachricht"
"Back","Zurück"
"Exclude admin users","Admin-Benutzer ausschließen"
"No admin user","Kein Admin-Benutzer"
"The logging will be disabled for the admin users selected in this config setting.","Das Logging wird für die ausgewählten Benutzer in dieser Einstellung deaktiviert."
"Insert","Insert"
"Update","Update"
"Delete","Delete"
"Login","Login"
"Success","Success"
"Fail","Fail"